schema,table,rls_enabled,rls_forced
auth,audit_log_entries,true,false
auth,custom_oauth_providers,false,false
auth,flow_state,true,false
auth,identities,true,false
auth,instances,true,false
auth,mfa_amr_claims,true,false
auth,mfa_challenges,true,false
auth,mfa_factors,true,false
auth,oauth_authorizations,false,false
auth,oauth_client_states,false,false
auth,oauth_clients,false,false
auth,oauth_consents,false,false
auth,one_time_tokens,true,false
auth,refresh_tokens,true,false
auth,saml_providers,true,false
auth,saml_relay_states,true,false
auth,schema_migrations,true,false
auth,sessions,true,false
auth,sso_domains,true,false
auth,sso_providers,true,false
auth,users,true,false
auth,webauthn_challenges,false,false
auth,webauthn_credentials,false,false
public,app_demo_entitlements,true,false
public,app_ratings,false,false
public,apps,false,false
public,backups,true,false
public,broadcasts,false,false
public,client_requests,true,false
public,contact_info,true,false
public,device_tokens,false,false
public,devices,true,false
public,kl_demo_sessions,true,false
public,kl_licenses,true,false
public,kl_products,true,false
public,kl_revocations,true,false
public,news,true,false
public,products,true,false
public,profiles,true,false
public,shv_admin_cloud_backups,true,false
public,shv_admin_emergency_vault,true,false
public,site_downloads,true,false
public,site_settings,true,false
public,store_config,true,false
public,upcoming_updates,true,false
realtime,schema_migrations,false,false
realtime,subscription,false,false
storage,buckets,true,false
storage,buckets_analytics,true,false
storage,buckets_vectors,true,false
storage,migrations,true,false
storage,objects,true,false
storage,s3_multipart_uploads,true,false
storage,s3_multipart_uploads_parts,true,false
storage,vector_indexes,true,false
vault,secrets,false,false
